"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Work\NOGA\src\context\AuthProvider.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 5, 20
"c:\Work\NOGA\src\context\SaleProvider.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 6, 26
"c:\Work\NOGA\src\data\db.json", "JSON", 0, 0, 0, 542, 0, 0, 1, 543
"c:\Work\NOGA\src\hooks\useAxiosPrivate.js", "JavaScript", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Work\NOGA\src\hooks\useGoToBack.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Work\NOGA\src\hooks\useLocationState.js", "JavaScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Work\NOGA\src\hooks\useLogout.js", "JavaScript", 17, 0, 0, 0, 0, 9, 5, 31
"c:\Work\NOGA\src\hooks\useObjectReducer.js", "JavaScript", 17, 0, 0, 0, 0, 18, 8, 43
"c:\Work\NOGA\src\hooks\useRefreshToken.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Work\NOGA\src\hooks\useSaleContext.js", "JavaScript", 6, 0, 0, 0, 0, 0, 3, 9
"c:\Work\NOGA\src\hooks\useScreenResize.js", "JavaScript", 21, 0, 0, 0, 0, 0, 5, 26
"c:\Work\NOGA\src\hooks\useSelectedImg.js", "JavaScript", 58, 0, 0, 0, 0, 0, 7, 65
"c:\Work\NOGA\src\hooks\useToast.js", "JavaScript", 22, 0, 0, 0, 0, 23, 5, 50
"c:\Work\NOGA\src\index.css", "CSS", 0, 0, 177, 0, 0, 6, 37, 220
"c:\Work\NOGA\src\main.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 2, 19
"c:\Work\NOGA\src\pages\admin\AddBranch.jsx", "JavaScript JSX", 0, 154, 0, 0, 0, 0, 11, 165
"c:\Work\NOGA\src\pages\admin\AddEmployee.jsx", "JavaScript JSX", 0, 347, 0, 0, 0, 3, 18, 368
"c:\Work\NOGA\src\pages\admin\Admin.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 3, 22
"c:\Work\NOGA\src\pages\admin\Branch.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 6, 4, 62
"c:\Work\NOGA\src\pages\admin\BranchAccounts.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 4, 54
"c:\Work\NOGA\src\pages\admin\BranchDetails.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 0, 5, 88
"c:\Work\NOGA\src\pages\admin\Branches.jsx", "JavaScript JSX", 0, 315, 0, 0, 0, 2, 31, 348
"c:\Work\NOGA\src\pages\admin\CreateAccount.jsx", "JavaScript JSX", 0, 128, 0, 0, 0, 0, 12, 140
"c:\Work\NOGA\src\pages\admin\EmployeeDetails.jsx", "JavaScript JSX", 0, 339, 0, 0, 0, 0, 14, 353
"c:\Work\NOGA\src\pages\admin\Employees.jsx", "JavaScript JSX", 0, 341, 0, 0, 0, 2, 26, 369
"c:\Work\NOGA\src\pages\admin\MangerAccountDetails.jsx", "JavaScript JSX", 0, 131, 0, 0, 0, 4, 6, 141
"c:\Work\NOGA\src\pages\admin\SalesAccountDetails.jsx", "JavaScript JSX", 0, 104, 0, 0, 0, 0, 4, 108
"c:\Work\NOGA\src\pages\admin\SalesAccounts.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 5, 135
"c:\Work\NOGA\src\pages\admin\Settings.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 4, 49
"c:\Work\NOGA\src\pages\admin\Statistics.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 14, 173
"c:\Work\NOGA\src\pages\admin\SystemAccounts.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 4, 56
"c:\Work\NOGA\src\pages\admin\SystemSettings.jsx", "JavaScript JSX", 0, 328, 0, 0, 0, 0, 15, 343
"c:\Work\NOGA\src\pages\hr\Hr.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Work\NOGA\src\pages\hr\HrSettings.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 10, 176
"c:\Work\NOGA\src\pages\manager\AccessoryDetails.jsx", "JavaScript JSX", 0, 148, 0, 0, 0, 1, 8, 157
"c:\Work\NOGA\src\pages\manager\BranchManager.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 3, 22
"c:\Work\NOGA\src\pages\manager\BranchProducts.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 6, 118
"c:\Work\NOGA\src\pages\manager\ManagerStatistics.jsx", "JavaScript JSX", 0, 128, 0, 0, 0, 0, 11, 139
"c:\Work\NOGA\src\pages\manager\OrderProducts.jsx", "JavaScript JSX", 0, 286, 0, 0, 0, 0, 18, 304
"c:\Work\NOGA\src\pages\manager\PhoneDetails.jsx", "JavaScript JSX", 0, 404, 0, 0, 0, 1, 12, 417
"c:\Work\NOGA\src\pages\manager\ProductsRequestLog.jsx", "JavaScript JSX", 0, 284, 0, 0, 0, 2, 23, 309
"c:\Work\NOGA\src\pages\public\ErrorPage.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Work\NOGA\src\pages\public\Layout.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Work\NOGA\src\pages\public\Login.jsx", "JavaScript JSX", 0, 194, 0, 0, 0, 10, 12, 216
"c:\Work\NOGA\src\pages\public\PersistLogin.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Work\NOGA\src\pages\public\Unauthorized.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 4, 45
"c:\Work\NOGA\src\pages\sales\AddCustomer.jsx", "JavaScript JSX", 0, 129, 0, 0, 0, 0, 10, 139
"c:\Work\NOGA\src\pages\sales\CustomerDetails.jsx", "JavaScript JSX", 0, 211, 0, 0, 0, 0, 13, 224
"c:\Work\NOGA\src\pages\sales\Customers.jsx", "JavaScript JSX", 0, 253, 0, 0, 0, 2, 25, 280
"c:\Work\NOGA\src\pages\sales\MakeSale.jsx", "JavaScript JSX", 0, 327, 0, 0, 0, 3, 20, 350
"c:\Work\NOGA\src\pages\sales\SalesOfficer.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 3, 22
